',Tweet,Polaridade,Localizacao
andressagbucar,"RT @danieltuita: o cara é editor chefe 
procurou os salarios mas nao procurou os  cargos

é muita burrice porem mil likes dos bolsominion s…",Neutro,Palmas - Tocantins
wclopz,"RT @professorigor: Eu vivi para ver a Globo citar  que uma de suas fontes de informação é o Super Pop da Luciana Gimenez!
#BolsonaroNoJorna…",Neutro,"São Paulo, Brasil"
CarlosbarbosaA3,"RT @Pedro_henriqz: Nao tenho vergonha de ser gay e apoiar o bolsonaro, eu vim de uma família tradicional brasileira, e apoio esses valores…",Positivo,
Junitizando,RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,Neutro,Brasil
Comarjose,"RT @davidsantos0525: Após o Jornal. Você Vota no BOLSONARO?

🔁RT PRA ESPALHAR🔁

#BolsonaroNoJornalNacional",Neutro,Londrina PR
junh51,RT @SimoneRJ_BR: #BolsonaroNoJornalNacional MITADA HISTÓRICA EM CIMA DE BONNER E TODA GLOBO:👇 https://t.co/vuzW97yP5X,Positivo,
LuaraNassaar,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,route 66
miharbikisij,"RT @Desesquerdizada: Resumo de #BolsonaroNoJornalNacional: anunciou o apartamento, cutucou Bonner pelo divórcio, jogou na cara da Renata qu…",Neutro,"Brasília, Brasil"
mynamesbabyblu,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,"Belo Horizonte, Brazil"
fckgca,RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,Neutro,clube de regatas do flamengo
reeis_isaaa,"RT @GarotaCiume: “candidato, o senhor está falando merda candidato” 
#BolsonaroNoJornalNacional https://t.co/mRXgwCezIz",Negativo,na sua
grifindor,RT @jooseeanee: a Renata depois dessa entrevista #BolsonaroNoJornalNacional https://t.co/k1HG3s7qZs,Neutro,"Recife, Brasil"
Ragasparneto,"RT @mjcosta_: ""Candidato não mostre o livro"". Ué, mas não é para CRIANÇAS? 

#BolsonaroNoJornalNacional",Neutro,"Olinda, PE, Brasil "
MaibonSimone,"RT @realpfigueiredo: Sou o maior defensor de um JB moderado, mas esse negócio de dizer que ele falou apenas para a própria base no JN não t…",Positivo,Rio de Janeiro - Brasil
tabatista_br,"RT @lsentoes: A turminha do lacre tá toda nervosinha, mas pergunta pro papai trabalhador em quem ele vai votar. #BolsonaroNoJornalNacional",Neutro,
verabottino,RT @MarizFigueiredo: Um breve resumo da entrevista do #BolsonaroNoJornalNacional #Bolsonaro #bolsolixo https://t.co/FKnYdQCW1T,Neutro,Brazil
eaipredo,"RT @mahbaydoun: ooh mãezinha por que me tiraste do teu ventre pra ver o Bolsonaro fora do manicômio 

#BolsonaroNoJornalNacional https://t.…",Negativo,twitter
mafort_gabi,"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",Negativo,"Espírito Santo, Brasil"
JlioAparecidoC1,"RT @rcp01: Globo Lixo.
Bolsonaro 17 #BolsonaroNoJornalNacional https://t.co/2073mkIhoh",Positivo,"Belo Horizonte, Brasil"
shandlerbong,"RT @lovatolorde: Renata Vasconcelos: ""eu nunca aceitaria menos que um homem se eu tivesse o mesmo cargo que ele"". Salário dela como jornali…",Neutro,
rocha_erich,#BolsonaroNoJornalNacional Só Bolsonaro tem coragem para enfrentar o sistema globo corrupto de televisão. Lula semp… https://t.co/zqjneU9QnY,Positivo,"Iúna, Brasil"
Bsouro,"RT @sirpotenza: Hoje Jair Bolsonaro ganhou mais um eleitor. Obrigado, Bonner e Renata por me ajudarem a escolher. Realmente estava muito pe…",Positivo,Crato-CE
journalsofyou,"RT @bchartsnet: Agora é só esperar os bolsominions fingirem que ele ""mitou"" e arrasou depois de ter sido pisado pela Renata, só gritado e n…",Negativo,bh city
fcksantanico,RT @mffernandab: “o meu salário não diz respeito a ninguém e eu garanto ao senhor que eu como mulher jamais aceitaria receber um salário me…,Neutro,estocolmo
dariocorrea108,"RT @allantercalivre: Sou amigo da pessoa que jogou na cara do Willian Bonner, ao vivo, no Jornal Nacional, que a Globo vive boa parte do di…",Positivo,"Mogi das Cruzes, Brasil"
wonhofilm,"RT @swtcmilas: renata vasconcellos comendo o cu do bolsonaro sem dó appreciatiom tweet
em breve no xvideos #BolsonaroNoJornalNacional https…",Negativo,luna e juli
Ezequias_silva1,"RT @sirpotenza: Hoje Jair Bolsonaro ganhou mais um eleitor. Obrigado, Bonner e Renata por me ajudarem a escolher. Realmente estava muito pe…",Positivo,"Rio de Janeiro, Brasil"
IovatodeIicate,"RT @bchartsnet: Bolsonaro: isso aconteceu em 1964...
Bonner: nós estamos em 2018 candidato
#BolsonaroNoJornalNacional https://t.co/sjWKRS4i…",Neutro,"Salvador, Brasil"
basquens,"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",Neutro,"São Paulo, SP"
blackwid_w,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,"Rio de Janeiro, Brasil"
Karinne_hope,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,BrasilHope
lucas_durden,"RT @Aames_Oliveira: Renata Vasconcellos: ""Não, candidato! Por favor, não mostre esse livro escolar! Tem criança assistindo!""
#BolsonaroNoJo…",Neutro,"Rio de Janeiro, Brasil"
whittebaby,RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,Neutro,putaquepariu
UnicornioDaLaur,"RT @LannesDelRey: O jornal nacional serviu para mostrar o quanto Bolsonaro é homofóbico, racista e machista.

Nem seus eleitores conseguem…",Negativo,Havana ona ona
celiadb12,"RT @SaabBrasil: #BolsonaroNoJornalNacional 
Uma pergunta:
Todos sabemos que Renata ganha 5x ou 4x menos que Bonner, 

""Se o salário da Rena…",Neutro,
ValdonelBrito,"RT @JoelAlexandreM: O Bonner até tentou evitar, mas não teve jeito, Bolsonaro falou o editorial de Roberto Marinho, e fez a famosa pergunta…",Neutro,"Tianguá, Brasil"
Dr_Educamillo,"RT @edmilsonpapo10: Rasgou o kit gay
Cagou pras feminazis
Vai fuzilar bandido
Mano, eu to feliz demais
#BolsonaroNoJornalNacional",Positivo,"Centro, Rio de Janeiro"
wnobuo,Realmente Bolsonaro não tem raciocínio lógico. Não conseguiu sair da primeira pergunta. #BolsonaroNoJornalNacional,Negativo,"Araxá,MG - Brasil"
Aliinevaladares,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,"Belo Horizonte, Brasil"
Duuh1991,"E é isso que queremos! Matar bandidos.
E se você os defende você deveria ir morar com eles ou até mesmo ir preso ju… https://t.co/OilUzCeM5W",Positivo,Toca da Raposa 
scorpionfriends,RT @BlogDoPim: A âncora Renata faz bem em não aceitar receber menos que homens por funções iguais (Bonner também é editor-chefe) pois ela é…,Neutro,"Nordeste, Brasil "
reeis_isaaa,"RT @RealityAoVivo: Renata Vasconcellos colocando Bolsonaro no seu devido lugar, não deixem esse vídeo morrer  #BolsonaroNoJornalNacional ht…",Negativo,na sua
lariaguiiar,RT @aboutjubsme: Bolsonaro só mostrou o quão retardado é nesse debate e se alguém ainda assim concordar com as ideias dele são retardados c…,Negativo,"Guarulhos, Brasil"
karlahellenn,RT @diImabr: Precisamos tombar esse momento da TV Brasileira como Patrimônio Histórico da Humanidade. Alô @UN!!! #BolsonaroNoJornalNacional…,Neutro,"Beverly Hills, MI"
campos_agnaldo,"RT @maepatriota: Candidato, me dá o livro.
Eu vou ficar com o livro.
Candidato, me dá o livro.
Eu vou ficar com o livro.
Candidato, me dá o…",Neutro,"Capão Redondo, São Paulo"
damnitana,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Neutro,
yazismean,"RT @LannesDelRey: O jornal nacional serviu para mostrar o quanto Bolsonaro é homofóbico, racista e machista.

Nem seus eleitores conseguem…",Negativo,
nic_csimon,"RT @malxndrz: boa noite com o vídeo mais prazeroso do ano, amém renata vasconsellos #BolsonaroNoJornalNacional #JN https://t.co/Wo7SAgjrUM",Neutro,"Curitibanos, Brasil"
wagnercurado,"RT @edmilsonpapo10: ""Em bandido tem que atirar""
Bolsonaro
#BolsonaroNoJornalNacional 
Cara, sempre quis ver um candidato dizer isso sem mim…",Positivo,
deadplool,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,bea's twin
MLGanga,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Negativo,"Rio de Janeiro, Brasil"
elzapalves,"RT @JoelAlexandreM: Veja o que Bolsonaro falou ao ser questionado sobre homofobia no Jornal Nacional 

#BolsonaroNoJornalNacional https://t…",Neutro,Brasil
