Usuario,Mensagem,Localizacao
CarlosMarioMe,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 21h15:
Bolsonaro, 46,5%; Haddad, 28,5%; Ciro, 12,5%; Alckmin, 4,…",Pinotepa Nacional Oaxaca
ebcnarede,RT @agenciabrasil: Alckmin diz que vai reunir PSDB para decidir posição no 2º turno https://t.co/fslwZS6dMs  📷Rovena Rosa/Agência Brasil #E…,Brasil
fredimcsc,RT @opovoonline: Cabo Daciolo vai vencendo Geraldo Alckmin no Ceará. https://t.co/JUd0Phvbpx #Eleições2018 #EleiçõesOPOVO https://t.co/2pMB…,"Porangabussu, Ceará"
_Iogan,"RT @tferrerm: São Paulo capital, al 98%:
Bolsonaro 44,6%
Haddad 19,6%
Gomes 14,8%
Alckmin 8,8%
Amoêdo 5,7%
Silva 1,5%
#EleccionesBrasil #El…","Lincoln, NE"
JGZZZO,RT @Poder360: Alckmin diz que PSDB decide na próxima 3ª sobre o apoio no 2º turno. https://t.co/AofRFibprQ #Eleições2018 https://t.co/fyerp…,Brasil
sinverguenchon,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 20h45:
Bolsonaro, 46,8%; Haddad, 28,2%; Ciro, 12,5%; Alckmin, 4,…",AlfinalDelTunelHayluz
correio,Alckmin tem o pior desempenho de um tucano na disputa presidencial https://t.co/HKodVXfznw #CBnasEleições… https://t.co/rBl39rg0Xs,"Brasília, Brasil"
pablovommaro,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 21h15:
Bolsonaro, 46,5%; Haddad, 28,5%; Ciro, 12,5%; Alckmin, 4,…",Buenos Aires
Biia_Cruuz,"Mas gente, o França era ex vice do Alckmin do partido dele, q esquerda????",nan
Pahodinha,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 21h15:
Bolsonaro, 46,5%; Haddad, 28,5%; Ciro, 12,5%; Alckmin, 4,…",.I.
