Usuario,Mensagem,Localizacao
dmconserva,"#Eleições2018 

Só com os votos do Daciolo já garantimos Bolsonaro Presidente ! Kkkk

Ele ficou na frente do Alvaro… https://t.co/YaWGL8VkJj","Jundiaí, Brasil"
Guine_SPFC,"Parabéns ao eleitor que ficou com @geraldoalckmin, @joaoamoedonovo, @cirogomes, @MarinaSilva, @alvarodias_,… https://t.co/mUOSQgvbf9",Brasil
vanildoneto,"RT @TheDiegoLeonel: Amoedo sem ter pisado em nenhum debate ficará a frente de Marina, Meirelles, Daciolo, Alvaro e Boulos

Feito enorme #El…",Maceió | Rio Largo | Alagoas
jeff_farias,@joaoamoedonovo bem a frente da @MarinaSilva @GuilhermeBoulos @meirelles e @alvarodias_. É deu pra entender bem a l… https://t.co/HqNHWZeNGH,nan
heldernunes,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,"Três Rios, Rio de Janeiro"
otonstar,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,Rio - SP
karinaacorreac,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…","Natal, Brasil"
OneRestlessMind,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,"Itaperuna, Brasil"
Thalisonn_,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,55027
leaoxcvi,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…","Bahia, Brasil"
fabricioayress2,RT @RickSouza: A MARINA ATRÁS DO DACIOLO E DO ÁLVARO DIAS HUAUHAUUHAUHAUHAUHAUHAUHAUHAUHAUH #Eleições2018 https://t.co/LXortZzpPS,"Sant'Ana do Livramento, Brasil"
fullsantiag0,"RT @naituita: a marina atrás de daciolo, amoedo, meirelles e álvaro................ https://t.co/541vGOVxVT",nan
taylorsel1,"RT @bchartsnet: Geraldo Alckmin (PSDB) 4,84%
João Amoedo (NOVO) 2,76%
Henrique Meirelles (MDB) 1,25%
Cabo Daciolo (PATRI) 1,07%
Álvaro Dias…",nan
