Usuario,Mensagem,Localizacao
JSAHIONE,RT @portaldaband: Amoêdo: partido Novo sai dessa eleição com força impressionante #Eleições2018 https://t.co/zzVthacpzI https://t.co/eHCf8m…,"Rio de Janeiro, Brasil"
fabioiwa,"@joaoamoedonovo poderia ter entrado pra história como o cidadão que sacrificou seus interesses em prol do Brasil, e… https://t.co/kHvOoxpd2y",Brazil
Jamil_Thomaz,RT @portaldaband: Amoêdo: partido Novo sai dessa eleição com força impressionante #Eleições2018 https://t.co/zzVthacpzI https://t.co/eHCf8m…,Brasil
Midia_AM,"#Eleições2018: Em Manaus, Cabo Daciolo venceu João Amoêdo e Marina Silva. https://t.co/W10PAMg0Qi","Manaus, AM"
Silviaperdiza,RT @portaldaband: Amoêdo: partido Novo sai dessa eleição com força impressionante #Eleições2018 https://t.co/zzVthacpzI https://t.co/eHCf8m…,nan
_Iogan,"RT @tferrerm: São Paulo capital, al 98%:
Bolsonaro 44,6%
Haddad 19,6%
Gomes 14,8%
Alckmin 8,8%
Amoêdo 5,7%
Silva 1,5%
#EleccionesBrasil #El…","Lincoln, NE"
douglaswill92,"RT @Midia_AM: #Eleições2018: Em Manaus, Cabo Daciolo venceu João Amoêdo e Marina Silva. https://t.co/W10PAMg0Qi",Estado de São Paulo / Brasil
marckjones_,"RT @Midia_AM: #Eleições2018: Em Manaus, Cabo Daciolo venceu João Amoêdo e Marina Silva. https://t.co/W10PAMg0Qi",Manaus
marisoaresct,RT @portaldaband: Amoêdo: partido Novo sai dessa eleição com força impressionante #Eleições2018 https://t.co/zzVthacpzI https://t.co/eHCf8m…,Brasil
larryatall,"RT @sailoratlantis: Dublin - Irlanda #eleições2018

1. Ciro Gomes (369 votos)
2. Bolsonaro (366 votos)
3. Amoedo (100 votos)
4. Haddad (77…","Brazil,Harry's thigh"
G3r4ld0_,João Dória está anos luz de Amoedo. Acenar ao Bolsonarismo agora é pavimentar os terreno para disputas futuras ao p… https://t.co/FdRiEltzJ2,"Curitiba, Brasil"
ThiagoMacinelli,RT @portaldaband: Amoêdo: partido Novo sai dessa eleição com força impressionante #Eleições2018 https://t.co/zzVthacpzI https://t.co/eHCf8m…,nan
Pcosta85,Porque não deu no primeiro turno? Urnas fraudadas e votos do Amoedo e Daciolo. Fim de papo. Nordeste não é o verdad… https://t.co/HoqsRMw176,"Uberlândia, MG, Brasil"
correio,"Amoêdo: ""Partido Novo sai dessa eleição com força impressionante"" https://t.co/Em8OS3ywHf #CBnasEleições… https://t.co/myfAh8X8UM","Brasília, Brasil"
denis9fduart,"Bom vamos aos cálculos:
Os quase 4% do Daciolo e Amoedo
Já colocam o Bolsonaro com quase 50%
Dúvido que perca voto… https://t.co/Sy5v2ywocz",República do Bananistão
marcelloziller,"RT @correio: Amoêdo: ""Partido Novo sai dessa eleição com força impressionante"" https://t.co/Em8OS3ywHf #CBnasEleições #Eleições2018 https:/…",nan
SouzaMatheus535,"RT @correio: Amoêdo: ""Partido Novo sai dessa eleição com força impressionante"" https://t.co/Em8OS3ywHf #CBnasEleições #Eleições2018 https:/…","Brasília, Brasil"
ArielGitelman,"João Amoedo foi egoista ao extremo. Desde o começo estava ciente de que não tinha chances, mas foi teimoso. Se abri… https://t.co/f2gW04PZ2u","Greensboro, NC"
eeerikaaa,"RT @correio: Amoêdo: ""Partido Novo sai dessa eleição com força impressionante"" https://t.co/Em8OS3ywHf #CBnasEleições #Eleições2018 https:/…","São Paulo / Fortaleza, Brasil"
RonnieryMenezes,"RT @correio: Amoêdo: ""Partido Novo sai dessa eleição com força impressionante"" https://t.co/Em8OS3ywHf #CBnasEleições #Eleições2018 https:/…",Brasil
ricmacedos,@CanalDoOtario @joaoamoedonovo @partidonovo30 Parece que ao final do mês de outubro o grande vencedor das… https://t.co/3Phi5TYsCC,Jacareí - SP
trusttdangeroux,"RT @sailoratlantis: Dublin - Irlanda #eleições2018

1. Ciro Gomes (369 votos)
2. Bolsonaro (366 votos)
3. Amoedo (100 votos)
4. Haddad (77…",JB Follows 14.01.16 at 20:05
