Usuario,Mensagem,Localizacao
crhysand,"RT @CentralLarry: Se o Salnorabo ganhar vamo mudar para Londres e dividir aluguel 😂 Quem topa?
 #Eleições2018 https://t.co/8DdZRhkl36",#1 camila dua lipa and lm stan
BahiaNoSangue,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,"Salvador, Bahia"
oliveira_dudao,"RT @GuiTintel: Nordeste foi a ÚNICA região em que Bolsonaro não venceu dentro de nenhum estado. A região, há muito precarizada, reconhece o…",Porto Alegre 
g1,"Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018… https://t.co/lW2ZEQ8E3t",Brasil
ivanamorticia,"RT @RenovaMidia: PSL, partido do candidato Jair Bolsonaro, terá a segunda maior bancada da Câmara, com 51 deputados. Antes disso, a legenda…",mundo da lua
valerianeves66,"RT @DonaVida_: O Brasil é Bolsonaro!
O Brasil quer Bolsonaro!
Bolsonaro Presidente do Brasil! #EleSim

#FraudeNasUrnas
#Eleições2018
#Elecc…",BRASÍLIA - DF
whydeb_,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,"Rio de Janeiro, Brasil"
feministuan,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,eng-ptbr
LouranyLs,"RT @GuiTintel: Nordeste foi a ÚNICA região em que Bolsonaro não venceu dentro de nenhum estado. A região, há muito precarizada, reconhece o…","Piauí, Brasil"
grazirduart,RT @gabfbarros: TENHO MUITO ORGULHO DE SER NORDESTINA #ELENÃO #ELENUNCA #eleições2018 https://t.co/q7W8ISktxw,"Recife, PE"
_kvlth,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,"São Geraldo, Brasil"
CarlosMarioMe,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 21h15:
Bolsonaro, 46,5%; Haddad, 28,5%; Ciro, 12,5%; Alckmin, 4,…",Pinotepa Nacional Oaxaca
FlaBittencourth,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
ErickShinoda,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,"Igaratá, SP"
rkiedis,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Rio de Janeiro - München - SLZ
Valdenisio4,"RT @lekocossu: Uma foto resumindo as eleições!
Estamos lutando, vamos chegar lá! Força Brasil!💪🇧🇷   😎👉👉

#Eleições2018 #BolsonaroPresidente…",Brazil
Guilhermee281,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Brazil
NicoleM72064463,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,"Rio Grande do Sul, Brasil"
prontofaleiopss,"RT @RainhaCarminha: Não adianta de nada o Nordeste ser sensato e votar contra o Bolsonaro,sendo que o Sul vem e dá quase 70% de votos válid…",cinceridade
Marcos_juunio,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Na sua 
jefferson_7_,RT @opovoonline: Deputado estadual mais votado do Ceará é um estudante do PSL de Bolsonaro. https://t.co/IUCMDm3Fbb  #EleiçõesOPOVO #Eleiçõ…,"Fortaleza, Brasil"
runiaokeys,"Bolsonaro só vai pro segundo turno com Haddad se falar algo que preste E SE comparecer aos debates

caso contrário,… https://t.co/YvfVpmxNNu",upside down 
koriddy,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
afluccas,RT @folha: Márcio França diz que não apoia Bolsonaro e que pensa diferente de vice https://t.co/7kEsix94t5 #Eleições2018 https://t.co/K1dAf…,São Paulo
lillherme,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",bsb
DelmaPS1,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Brasil
vm_veri,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,"Santa Bárbara d'Oeste, Brasil"
RealAndre12,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Joinville, Brasil"
tiagomelgaco,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Brasília
xwipedout,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,na norte
MAXWELLLOBO,"RT @jc_pe: Derrotados, Mendonça e Bruno Araújo declaram apoio a Bolsonaro no 2º turno https://t.co/GHNiDapi7k #EleiçõesSJCC #Eleições2018 h…","Recife, Brasil"
crvgluizaa,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Praia de itaparica, ES "
ivangnlh513,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Belo Horizonte
1psicopatar,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Ceará, Brasil"
mineira57,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",little Ferry
Medeiros_Breh,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,"Rio de Janeiro, Brasil"
Tagcqc,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,"Minas Gerais, Brasil"
raquelcobra,"RT @congemfoco: Eduardo Bolsonaro vira o deputado mais votado da história. PSL elege 9 em SP, entre eles Alexandre Frota, Joice Hasselmann…",uncharted waters
walerdaniel,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
versao_real,"RT @RomuloIMP: ""Bolsonaro não terá governabilidade..."" https://t.co/sOADdxOZ2Q","Brasília, Brasil"
JlioCsarL,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Natal, Brazil"
carolinatuita,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,"Salvador, Brasil"
DR_GALO,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Belo Horizonte
paula_bopsin,RT @maslanylife: Bolsonaro só não ganhou no nordeste sabe pq 👇 #Eleições2018 https://t.co/8HRXu5X0Hp,nan
vbio,RT @opovoonline: Deputado estadual mais votado do Ceará é um estudante do PSL de Bolsonaro. https://t.co/IUCMDm3Fbb  #EleiçõesOPOVO #Eleiçõ…,nan
RodineyDeSouza,"Bora para o 2° turno mais forte. 
#Bolsonaro #bolsonaro2018 #Bolsonaro17 #Eleições2018 #EleSim17 https://t.co/RaBSb9vvEW",Jardim Laguna - Contagem
FelipeeDavid,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
taeminsdick_,"RT @Antonio_rsj: O plano A não deu certo, então...
Não voto em fascista! #ELENUNCA #ELENÃO #FicaTemer #Eleições2018 https://t.co/HtLz9ZtqDk",lago de chernobyl
NinoDinarelli,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","São Paulo, Brasil"
MoissNegro1,"RT @RenovaMidia: PSL, partido do candidato Jair Bolsonaro, terá a segunda maior bancada da Câmara, com 51 deputados. Antes disso, a legenda…",nan
heraldocs,A luta continua.  #Bolsonaro #BolsoDoria #Eleições2018 #AcordaBrasil https://t.co/1Z6m2XSmIn,Cuiabá / MT / Brazil
arnaudmattoso,RT @jc_pe: Bolsonaro é o presidenciável mais votado no Recife https://t.co/FdnARhK6qa #EleiçõesSJCC #Eleições2018 https://t.co/B4Vdas79bn,Recife PE
mimis51,"RT @RenovaMidia: Flávio Bolsonaro (PSL) está eleito como senador no Rio de Janeiro. Lindbergh Farias (PT) tem apenas 10,19% e está fora da…",Rio de Janeiro
gcarvalho15,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",embaixo da tua cama
