Usuario,Mensagem,Localizacao
agmcinefilo,"mesmo que todos os votos obtidos por ciro gomes, marina silva e guilherme boulos fossem migrados para fernando hadd… https://t.co/BfEfsAmq5M","Santo André, Brasil"
Amandaparacy,"Sabe o que aconteceu, o pessoal de #Marina18  e #Boulos50 se uniu ao #ViraViraClR0 . Mas o pessoal do #PT não foi,… https://t.co/NtCu9bbCsw",Pelotas - Rio Grande do Sul
BrunoCo35078037,"@GuilhermeBoulos Isso aí, vamos apoiar o PT e td sua corja!!!Foda-se q eles afundaram o país,o importante é ""Helenã… https://t.co/8uKX3WwYMB", Rio de Janeiro
usecarlos,Que eleições futuras seja Ciro Gomes e Boulos de vice. #ViraViraClR0 #Eleições2018 #,nan
carstairspotter,"RT @g1saopaulo: O candidato do PSOL na eleição para presidente, Guilherme Boulos, chega com as filhas para votar na PUC-SP #Eleições2018 ht…",Hogwarts
thaicavalcantxi,"Temos força pra isso?
@cirogomes 
@STF_oficial 
@BernardoMF 
@Haddad_Fernando 
@GuilhermeBoulos 
@RedeGlobo… https://t.co/EqvHg8Dvhb",nan
apenasvegetand,RT @usecarlos: Que eleições futuras seja Ciro Gomes e Boulos de vice. #ViraViraClR0 #Eleições2018 #,Brasil
eabalanga,"É impressão minha ou @CaboDaciolo está dando uma porrada de votos ao @GuilhermeBoulos ?
#eleicao2018 #eleição2018",Angola
PallomaRodgs17,"É Ciro, é Haddad, é Boulos, é Marina, é qualquer um q ama a Democracia, menos essa gente da bala e da ignorância, q… https://t.co/16QQ2g1t3E","Recife, Brasil"
Inez_Sousa,"Não vote em branco ou nulo, vote no Ciro, no Haddad, no Boulos, na Marina, no Alckmin... até no Daciolo, só não vot… https://t.co/l0fcLNIH5o",Brasil
Gleissonlima8,"Pessoal, não se esqueçam: Bolsonaro 12, Haddad 12, Ciro 12, Marina 12, Daciolo 12, Meirelles 12, Boulos 12, Alckmin… https://t.co/JKB9GN8WkF","Sto. Amaro, Recife"
26william08,"Independente de quem for ao 2º turno é essencial a aliança entre vocês @GuilhermeBoulos , @Haddad_Fernando e… https://t.co/WR7aVvzpuE",São Paulo
juninho_1983,"Gente esse tal de @GuilhermeBoulos ainda é candidato, ou já se tocou? 🤣🤣🤣 #eleicao2018",São Paulo / Brasil
LizFerreira04,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",nan
with_an_eff,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…","Rio de Janeiro, Brazil"
maracecilio,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…","Porto Alegre, Brazil"
edulopezssa,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",Brasil
melizacaramez,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…", 
salgado_lu,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",Brasil
Kaua_intocavel8,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…","Rio de Janeiro, Brasil"
Dilibra22Maria,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…","Manaus, Brasil"
hevercosta,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",Ouro Preto - MG - Brasil
regisbraga1,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",nan
LilianiChaikos1,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",Abc
joserleite,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",nan
carola_mbgs,Aqui foi de @GuilhermeBoulos #eleicao2018 #VoteConsciente,Floripa
nenacatena,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",nan
camilarackel_,Eu tô rindo que minha família tá brigando tudo pq uns são Marina e outros são Boulos... Kkkkkkkkkk minha família é… https://t.co/515XBKvviW,"Maceió, AL"
tfmagal,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",nan
BleyLacerda,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",nan
joomikhail,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",SAMPA -Brasil
OvelhaVermelha7,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",BH(MG)
Cristina636363,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",Brasil
Intelectoorgni1,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",nan
LciaPontes1,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…", Brasil
SMuzitano,"RT @lolaescreva: No meu colégio eleitoral a maior parte q tava com camiseta ou adesivo era do Haddad. Mas tb vi 2 eleitores do Boulos, 2 do…",Iguaba Grande
