Usuario,Mensagem,Localizacao
Crlhmanu,"RT @AngelooVitor: vendo isso só lembro de um canto:
ACABOU O AMOR, ISSO AQUI VAI VIRAR UM INFERNO https://t.co/Amv0Uecodg",nan
riccardomaxsci,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,"Rio Grande do Sul, Brasil"
LuizEdu_1914,"Obrigado por tudo, Cabo Daciolo, com uma campanha de 700 reais, conseguiu uma quantidade considerável de votos. 
GL… https://t.co/8hYccDmogr","Paulista, Brasil"
fredimcsc,RT @opovoonline: Cabo Daciolo vai vencendo Geraldo Alckmin no Ceará. https://t.co/JUd0Phvbpx #Eleições2018 #EleiçõesOPOVO https://t.co/2pMB…,"Porangabussu, Ceará"
ViniAlexis,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",São Paulo
EdilonJdeAraujo,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",nan
mauralops,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",nan
claudomildo,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",Pernambucano de Quenhenhem
Midia_AM,"#Eleições2018: Em Manaus, Cabo Daciolo venceu João Amoêdo e Marina Silva. https://t.co/W10PAMg0Qi","Manaus, AM"
blackbearnbhd,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",nan
jlplasa,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,"Rio de Janeiro, Brasil"
neiatl,"RT @AlCotting: Se eu fosse Marina Silva, não estaria nem discutindo o apoio a algum candidato. Pra quem teve 1% dos votos, atrás do Daciolo…",brasil
gley_abreu,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,"Fortaleza, Ceará"
FaillaceCesar,Daciolo não é comunista,nan
douglaswill92,"RT @Midia_AM: #Eleições2018: Em Manaus, Cabo Daciolo venceu João Amoêdo e Marina Silva. https://t.co/W10PAMg0Qi",Estado de São Paulo / Brasil
marckjones_,"RT @Midia_AM: #Eleições2018: Em Manaus, Cabo Daciolo venceu João Amoêdo e Marina Silva. https://t.co/W10PAMg0Qi",Manaus
dianahanzel_,"RT @rglioche: Pra quem ainda tinha dúvidas, o grande vencedor dessas #Eleições2018 foi o cabo Daciolo https://t.co/ZncM8FP8ID",nan
Tom_1914,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,Io sono Palestra Itália 
fleximidia,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,"Guarulhos, Brasil"
Lucaas_cas,"RT @MrciaSimoni: TCHAU Lindenberg, Jean Willis, Maria do Rosário, Dilma, Requião e Beto Richa!!🤣
GLÓRIA A DEUXXXX!
#Eleições2018","Vila Formosa, Curitiba"
SidneiSeguros,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,Porto Alegre
ricardoagalvao,Daciolo hoje fez mais que certos candidatos em quase trinta anos de política.,"Manaus, Brasil"
queenxblack,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,onde é que eu to nessa porra?
breno_depaula,Gloria a Deuxxxxxx,nan
el_zazen,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",nan
LTavares_BR,"ESSE SIM É MEU CANDIDATO, GLÓRIA A DEUX NELEEEEES",no seu cu
maycon_Fla,Depois que o Daciolo falou pro Haddaad no debate da record que ele Haddad foi o pior prefeito da história da cidade… https://t.co/9S0lC5ICOr,nan
RafaMartinsSCCP,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,"Diadema, Brasil"
LFlaviioO,RT @adreanu: o galardao do cabo daciolo no ceu é grande https://t.co/BvYUAgGkLi,Brasilia
daviduarte1998,"RT @thaadinis: Boca de Urna: 

Dilma, Suplicy e Lindbergh, por enquanto, fora do Senado. 

Me segura que vai baixar o santo Daciolo aqui ma…","Nárnia, Rio de Janeiro  "
joao_p_botelho,"RT @TheInterceptBr: .@majorolimpio , cabo eleitoral de @jairbolsonaro, foi eleito senador por São Paulo. Já descobrimos a rede de empresas…",nan
