Usuario,Mensagem,Localizacao
savannahliga,ACORDA @Haddad_Fernando,nan
g1,"Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018… https://t.co/lW2ZEQ8E3t",Brasil
alextribb,"RT @TSEjusbr: Quem registrar o voto com máquinas fotográficas, filmadoras, e telefones celulares poderá ser multado em até R$ 15 mil e até…","Rio de Janeiro, Brasil"
CarlosMarioMe,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 21h15:
Bolsonaro, 46,5%; Haddad, 28,5%; Ciro, 12,5%; Alckmin, 4,…",Pinotepa Nacional Oaxaca
808astroblack,RT @jc_pe: #EleiçõesSJCC #Eleições2018 Haddad quer unir democratas e debater 'olho no olho' no 2º turno https://t.co/5HqcvhJXeH https://t.c…,"Recife, Brasil"
FlaBittencourth,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
rkiedis,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Rio de Janeiro - München - SLZ
Guilhermee281,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Brazil
alexsandramarce,"RT @TSEjusbr: Quem registrar o voto com máquinas fotográficas, filmadoras, e telefones celulares poderá ser multado em até R$ 15 mil e até…",brasil
Marcos_juunio,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Na sua 
runiaokeys,"Bolsonaro só vai pro segundo turno com Haddad se falar algo que preste E SE comparecer aos debates

caso contrário,… https://t.co/YvfVpmxNNu",upside down 
koriddy,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",nan
lillherme,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",bsb
DelmaPS1,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Brasil
RealAndre12,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…","Joinville, Brasil"
tiagomelgaco,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Brasília
