Usuario,Mensagem,Localizacao
odio_nao,"RT @Cecillia: “Não temos qualquer identificação com projetos autoritários”, diz Marina Silva. Aí você pensa que ela vai escolher um lado e…",nan
TheDiegoLeonel,"Janaina Paschoal com o dobro de votos de Marina Silva

É isso #Eleições2018","Maceió, Brasil"
Midia_AM,"#Eleições2018: Em Manaus, Cabo Daciolo venceu João Amoêdo e Marina Silva. https://t.co/W10PAMg0Qi","Manaus, AM"
opovoonline,"Infelizmente, tivemos a velha polarização que se tornou tóxica, diz Marina. https://t.co/0ukeUHIEq3 #EleiçõesOPOVO… https://t.co/Zw4DcGlfoF","Fortaleza, Ceará"
neiatl,"RT @AlCotting: Se eu fosse Marina Silva, não estaria nem discutindo o apoio a algum candidato. Pra quem teve 1% dos votos, atrás do Daciolo…",brasil
douglaswill92,"RT @Midia_AM: #Eleições2018: Em Manaus, Cabo Daciolo venceu João Amoêdo e Marina Silva. https://t.co/W10PAMg0Qi",Estado de São Paulo / Brasil
marckjones_,"RT @Midia_AM: #Eleições2018: Em Manaus, Cabo Daciolo venceu João Amoêdo e Marina Silva. https://t.co/W10PAMg0Qi",Manaus
YasminSd7,RT @RenanUchoa_: Eu tenho orgulho de fazer parte do 1 milhão de votos para Marina. Não caí na ilusão e covardia do voto útil. Não vou ficar…,nan
Robertotannusjr,Quem é Marina? Essa “morreu” hoje!,nan
homofobiaNAO,"Ciros, Marinas, Vera Lúcia, vamos juntos? #AgoraÉHaddad #HaddadÉ13",nan
Poder360,"Preocupada, Marina Silva diz que agora ficará na oposição. https://t.co/VKLgAkXaJm #Eleições2018 https://t.co/EkA0stJJPe","Brasília, Brazil"
thenamerick,"RT @homofobiaNAO: Ciros, Marinas, Vera Lúcia, vamos juntos? #AgoraÉHaddad #HaddadÉ13 https://t.co/wC9QWMHbvM",nan
drpeixotobrasil,"RT @correio: Marina não declara voto no segundo turno e critica a ""velha polarização"" https://t.co/pTDzVjxDbL #CBnasEleições #Eleições2018…",nan
lizinbetween,"RT @homofobiaNAO: Ciros, Marinas, Vera Lúcia, vamos juntos? #AgoraÉHaddad #HaddadÉ13 https://t.co/wC9QWMHbvM",jotaéfi
rodrigofdama,"@MarinaSilva dizendo que não vai se posicionar... só um aviso, apoio como um prego na areia a direita conservadora… https://t.co/kv8IoMX84x",nan
giu_palumbo,"RT @homofobiaNAO: Ciros, Marinas, Vera Lúcia, vamos juntos? #AgoraÉHaddad #HaddadÉ13 https://t.co/wC9QWMHbvM",Brazil
waxxwings,"RT @homofobiaNAO: Ciros, Marinas, Vera Lúcia, vamos juntos? #AgoraÉHaddad #HaddadÉ13 https://t.co/wC9QWMHbvM","Maceió, Brazil"
brunopatette,"Cabo Daciolo que ficou a campanha inteira praticamente em seu monte, recebeu mais votos do que a Marina Silva... #Eleições2018", Campinas - São Paulo
oukivia,"RT @homofobiaNAO: Ciros, Marinas, Vera Lúcia, vamos juntos? #AgoraÉHaddad #HaddadÉ13 https://t.co/wC9QWMHbvM",brazil
qualarroba,"RT @opovoonline: Infelizmente, tivemos a velha polarização que se tornou tóxica, diz Marina. https://t.co/0ukeUHIEq3 #EleiçõesOPOVO #Eleiçõ…",nan
ronietrevisan,"RT @Poder360: Preocupada, Marina Silva diz que agora ficará na oposição. https://t.co/VKLgAkXaJm #Eleições2018 https://t.co/EkA0stJJPe",Rio Grande do Sul
geiza_21,"RT @mordomoeugenio: Marina muito foda, jamais se vitimiza. Mesmo com sua candidatura derretendo no final, tá lá cabeça erguida dando entrev…","Rio de janeiro, Brasil"
umataldevaleria,"João nos surpreendeu... passou a Marina e seus anos de política. Com uma campanha limpa e honesta, sem privilégios… https://t.co/cYiBy14kSp","Paraná,Brasil"
cindybr2014,"Marina vai hibernar por mais 4 anos. 
Já vai tarde, Marina! Vê se não volta nunca mais!
#Eleições2018",Brazil
cindybr2014,"Não, @MarinaSilva ninguém aguenta mais olhar para essa sua cara de pau. Hiberne por mais 4 anos e volte para tomar… https://t.co/Hpr1l0iDz1",Brazil
agmcinefilo,"mesmo que todos os votos obtidos por ciro gomes, marina silva e guilherme boulos fossem migrados para fernando hadd… https://t.co/BfEfsAmq5M","Santo André, Brasil"
Amandaparacy,"Sabe o que aconteceu, o pessoal de #Marina18  e #Boulos50 se uniu ao #ViraViraClR0 . Mas o pessoal do #PT não foi,… https://t.co/NtCu9bbCsw",Pelotas - Rio Grande do Sul
marciodonizete,"- Cabo Daciolo teve mais votos que a Marina 
- Alckmin e Marina derrubaram as pesquisas e tiveram desempenho péssim… https://t.co/OhZqxqEGcG","São Caetano do Sul, São Paulo"
skarletharaujo,"RT @RainhaCarminha: A Marina só teve 1% dos votos até o Cabo Daciolo ficou na frente dela, chocada #Eleições2018 https://t.co/FeoNAwjSvh",nan
Heygabse,"RT @opovoonline: Infelizmente, tivemos a velha polarização que se tornou tóxica, diz Marina. https://t.co/0ukeUHIEq3 #EleiçõesOPOVO #Eleiçõ…","Fortaleza, Brazil"
_hugoh__,"Infelizmente não deu pra nossa fada @MarinaSilva, e como já esperava esse possível segundo turno, decidi que meu vo… https://t.co/gy1Q0MuxN4","Londrina, Brasil"
grundiezera,"resultado de gente que preferiu apoiar um macho babaca como o ciro gomes do que a marina, feminismo seletivo podre… https://t.co/bA809B517k",tm squad
Jornal_Canyons,"#Eleições2018 @MarinaSilva, candidata da Rede à presidência da República, creditou seu péssimo desempenho à estraté… https://t.co/yPpjjxgWod","Praia Grande, Brasil"
mr_oscaaaar,"RT @teologiaBR: Meu voto foi Marina e agora sou OBRIGADO a votar
👇
#Bolsonaro17
#PTJamais
#eleições2018","Manaus, Brasil"
