Usuario,Mensagem,Localizacao
EuAndersonLopes,"RT @ExpressoEpoca: Pesquisas sugerem derrotas de seis ex-ministros de Temer

Henrique Meirelles, Bruno Araújo, Mendonça Filho, Sarney Filho…","Tobias Barreto, Brasil"
samneses,"RT @ExpressoEpoca: Pesquisas sugerem derrotas de seis ex-ministros de Temer

Henrique Meirelles, Bruno Araújo, Mendonça Filho, Sarney Filho…","Boa Vista, Brasil"
jeversonlima,"Em matéria de marketing, nada supera os números do Meireles e do Daciolo, um gastou milhões e outro alguns poucos R… https://t.co/qwUXt87hLn",Palmas/Tocantins/Brasil
BarlowInBrazil,Gloria a deus!!! O Cabo Daciolo ficou na frente do Meirelles! #CaboDaciolo #eleições2018,nan
maridiva9,"RT @ExpressoEpoca: Pesquisas sugerem derrotas de seis ex-ministros de Temer

Henrique Meirelles, Bruno Araújo, Mendonça Filho, Sarney Filho…",nan
twp20172018,"RT @ExpressoEpoca: Pesquisas sugerem derrotas de seis ex-ministros de Temer

Henrique Meirelles, Bruno Araújo, Mendonça Filho, Sarney Filho…",nan
FridaGalo13,"RT @ExpressoEpoca: Pesquisas sugerem derrotas de seis ex-ministros de Temer

Henrique Meirelles, Bruno Araújo, Mendonça Filho, Sarney Filho…",nan
TheDiegoLeonel,"#Eleições2018 - Alagoas - Presidente

Haddad 44,75%
Bolsonaro 34,40%
Ciro 10,12%
Alckmin 3,81%
Meirelles 2,86%
Daci… https://t.co/g2VGuawu5a","Maceió, Brasil"
Andreiali_ma,"Gente e o Meirelles?
Ele disse pra chamar ele
#Eleições2018 #FicaTemer","Marte,Nárnia"
O_Perguntelho,"RT @ExpressoEpoca: Pesquisas sugerem derrotas de seis ex-ministros de Temer

Henrique Meirelles, Bruno Araújo, Mendonça Filho, Sarney Filho…",Sao Paulo
jannettepaz58,"HADDAD.......

"" CHAMA O MEIRELLES....!!! ""

KKKKKKKKKKKK

#Eleições2018 

DIA 28 DE OUTUBRO
VOTE @jairbolsonaro 17",Brasil RS Porto Alegre
Gleissonlima8,"Pessoal, não se esqueçam: Bolsonaro 12, Haddad 12, Ciro 12, Marina 12, Daciolo 12, Meirelles 12, Boulos 12, Alckmin… https://t.co/JKB9GN8WkF","Sto. Amaro, Recife"
tjales_,até o jango filho conseguiu uns 2 votos e o meirelles nãokkkkkkkkkk,nan
__gustavog,Chupa meu Pinto Meirelles,nan
marcocask,"Daciolo com mais votos que Meirelles e, acreditem, que a Marina!!!!
#Eleições2018",Cidade Maravilhosa
Bonoro01,"O Daciolo ficou na frente do Meireles na presidência kkkkkkkkkkkkkkkkk
#Eleições2018","Rio de Janeiro, Brasil"
cripessoa,RT @alexandresena: Grande surpresa destas #Eleições2018: Cabo Daciolo sendo mais votado que Marina e Meirelles.,nan
Savagefiction,A Marina perdeu pro Henrique Meirelles e Daciolo. Será que ela aprende agora que não dá pra disputar a presidência… https://t.co/QO6658Zfi3,nan
chjr_29,"Ae ciro, lembra do bate bola seu e do Meirelles, aquela putaria de perguntinha combinada, um levantava pro outro se… https://t.co/49Y1DMXG3M",nan
NBACometaBALLey,RT @Savagefiction: A Marina perdeu pro Henrique Meirelles e Daciolo. Será que ela aprende agora que não dá pra disputar a presidência com e…,"São Paulo, Brasil"
sr_Fodastico15,"Agora você que votou em Ciro, Meirelles, Amoêdo, que caiu no conto da oposição fake ou que se omitiu, vai votar em… https://t.co/UIGkDJSnvp","Curitiba, Brasil"
davivcorrea,@MarinaSilva ficou atrás de Cabo Daciolo e do estreante @meirelles. Agora ela vai tirar férias até 2022 quando reto… https://t.co/cJUquCWvNG,"Brasil - Petrópolis, RJ"
ALuizCosta,RT @Savagefiction: A Marina perdeu pro Henrique Meirelles e Daciolo. Será que ela aprende agora que não dá pra disputar a presidência com e…,"São Paulo, Brasil"
ninabelem,RT @Savagefiction: A Marina perdeu pro Henrique Meirelles e Daciolo. Será que ela aprende agora que não dá pra disputar a presidência com e…,Belem-Pará-Brasil
Ibyah_,"Daciolo até na frente de Meirelles. É, haha, Glória a Deuxxxx! #eleições2018",nan
vanildoneto,"RT @TheDiegoLeonel: Amoedo sem ter pisado em nenhum debate ficará a frente de Marina, Meirelles, Daciolo, Alvaro e Boulos

Feito enorme #El…",Maceió | Rio Largo | Alagoas
SophieGabriel1,"RT @UOLNoticias: Henrique Meirelles chegou para votar no colégio Rio Branco, em São Paulo, acompanhado do candidato ao governo Paulo Skaf,…",Bogotá
vinileolau,"Haddad vai precisar de todos os votos de 
Ciro 
Alkmin 
Amoedo 
Daciolo 
Meireles e 
Marina.

Bolsonaro os de Alkmin

#Eleições2018",Brasil
