Usuario,Mensagem,Localizacao
hanahmelo19,"RT @sirpotenza: Hoje Jair Bolsonaro ganhou mais um eleitor. Obrigado, Bonner e Renata por me ajudarem a escolher. Realmente estava muito pe…","Palhoça, Brasil"
veloso312,"RT @conexaopolitica: AO VIVO: Ao ser questionado sobre 'ditadura militar' no Brasil, Jair Bolsonaro enfatizou que não houve ditadura no Bra…",Goiania-GO
pfasosantos,"RT @Desesquerdizada: #BolsonaroNoJornalNacional estava falando sobre o ""kit gay"". Então ele tentou exibir um livro... e descobrimos que os…",São Paulo
carollisaaa,"RT @isabell14758959: #BolsonaroNoJornalNacional Ele e candidato mesmo , pensei que era so para ter meme https://t.co/9r8yMY8OSz","Teresina, Brasil"
Quintiliano_Jr,"RT @Desesquerdizada: Resumo de #BolsonaroNoJornalNacional: anunciou o apartamento, cutucou Bonner pelo divórcio, jogou na cara da Renata qu…","Duque de Caxias, Brasil"
souzamagno27,RT @Desesquerdizada: O principal telejornal do país fazer uma entrevista onde METADE do tempo foi gasto com pautas lacradoras só mostra a f…,Brasilia
MateusR11854780,"RT @pinhead_lives: Globo mostra assassinatos, lascívia, beijo gay, traições, mentiras, planejamento de mortes e tudo que não presta em rede…","Olinda ,Pernambuco "
xgskari,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…","Rio de Janeiro, Brasil"
shirley_loos,"RT @rcp01: Isso foi na Barra da Tijuca Rio de Janeiro, após da entrevista de Jair Bolsonaro.
Se isso aconteceu na sua cidade ou bairro, div…",Brasil
mxonlght,"RT @Gih__Alves: São diferentes as funções deles, Bonner além de apresentar é também editor chefe e diretor. Ela disse que não aceitaria alg…","Paraná, Brasil"
AlanaRavena,RT @BlogDoPim: A âncora Renata faz bem em não aceitar receber menos que homens por funções iguais (Bonner também é editor-chefe) pois ela é…,Natal- RN
PauloxuxuS,"RT @Ro_Moller: Jair Bolsonaro saiu sem nenhum arranhão...

A entrevista foi respeitosa e muitas Fake News sobre ele foram derrubadas.

As c…","Frei Inocêncio, MG Brasil"
WilliamAlfonso,"RT @lucianobraz: Renata Vasconcellos: ""eu nunca aceitaria receber menos que um homem"". Salário dela:  R$ 200 mil.
Salário do William Bonner…",Espírito Santo do Pinhal  SP
ddrika_,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Rio Grande do Sul
MAIORDEMG,"RT @SiloeWood: Achei uma hipocrisia quando o Bolsonaro foi mostrar o livro e falaram pra não mostrar em respeito aos telespectadores, quand…",BH
Dr_Educamillo,"RT @Ro_Moller: Eu sempre achei um EXAGERO chamar Jair Bolsonaro de MITO, peço desculpas, eu estava errado, ele é!!

#BolsonaroNoJornalNacio…","Centro, Rio de Janeiro"
bianco_roberto,"RT @AlbuquerqueDavy: ""Bonner, quando nós casamos, eu com minha esposa e você com a sua, nós juramos fidelidade eterna..."" #BolsonaroNoJorna…","Rio de Janeiro, Brasil"
TataFer,"RT @RondinellySena: Vamos lá Brasil: Já que as pesquisas eleitorais ""oficiais"" são manipuladas, vamos descobrir a verdade.

Em quem você vo…",
mileninhaa7,"RT @Lucaschaoandre: Apreciem a mulher que destruiu o Bolsonaro em pleno Jornal nacional.

Renata Vasconcellos eu escolhi te amar ❤️

#Bolso…",Niterói
czxchry,RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,Hell
reallyl0uis,RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,
FABIANOJCAMARGO,"RT @lichteritter: Nem um mal irá derrubar @jairbolsonaro

O caso JovenPan já mostrou que patrocinadores não querem todos os outros candidat…","Belo Horizonte, Brasil"
brasilreporter1,"RT @agencialupa: O @jairbolsonaro, candidato à Presidência pelo PSL, foi entrevistado no @jornalnacional. Confira a checagem em https://t.c…",
JustCarol10,"RT @Desesquerdizada: Resumo de #BolsonaroNoJornalNacional: anunciou o apartamento, cutucou Bonner pelo divórcio, jogou na cara da Renata qu…",
alomonamor,RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,"Eldorado MS, Brasil"
_pedrobrum,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",
renatao1049,"RT @JoelAlexandreM: Bolsonaro nos bastidores, depois da entrevista para o Jornal Nacional 

#BolsonaroNaGloboNews #BolsonaroNoJornalNaciona…",
fodeucabeyo,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Namjoon utt
ananime038,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",MG-Belo Horizonte 
RodrigoAmaralPr,RT @fernandatanaka_: Bolsonaro foi bem articulado e claro. Foi sério. Não fugiu dos assuntos. Falou de suas pautas. Não deixou Bonner e Ren…,
3ba428e47c934e6,"RT @mmarqt: Vamos fortalecer as direita aqui pessoal. O macete é curtir esse POST, dar RT e curtir todo mundo que curtiu. Tem que dar RT pr…","Manaus, Brasil"
well_bk,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Brasil - Recife-PE
daanny_sant,"RT @LannesDelRey: O jornal nacional serviu para mostrar o quanto Bolsonaro é homofóbico, racista e machista.

Nem seus eleitores conseguem…","Salvador, Brasil"
leopicoli,"RT @sirpotenza: Hoje Jair Bolsonaro ganhou mais um eleitor. Obrigado, Bonner e Renata por me ajudarem a escolher. Realmente estava muito pe…",
luiza_crr,"RT @_ls_13: Bolsominions assistindo o debate / resto do país
#BolsonaroNoJornalNacional https://t.co/cOPXadvObk",
najaeluvr,"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",in neocity
leonardoolife,"RT @Natpeiixoto: Entendam: quem garante a igualdade salarial entre homens e mulheres exercendo a mesma função é a CLT e a CONSTITUIÇÃO, não…","Espírito Santo, Brasil"
coachsandrolima,"Bom dia Pra vc que acordou meio tonto .... 

#BolsonaroNoJornalNacional https://t.co/YyzFHKlGow",
ggukstxn,"RT @huffpostbrasil: Renata Vasconcellos para #BolsonaroNoJornalNacional ""Seu salário de deputado, nós pagamos. E sabemos qual é, como cidad…",134340
vaninhosobrinho,"RT @sirpotenza: Hoje Jair Bolsonaro ganhou mais um eleitor. Obrigado, Bonner e Renata por me ajudarem a escolher. Realmente estava muito pe…","Natal, Brasil"
Thayfs2,RT @_AdrianaSantosc: “O MEU SALÁRIO NÃO DIZ RESPEITO A NINGUEM E VOU DIZER UMA COISA PRO SENHOR EU JAMAIS ACEITARIA GANHAR MENOS QUE UM HOM…,022
evjoaogonalves,"RT @Silas_Pereiraa: #BolsonaroNoJornalNacional
Barra da Tijuca após a entrevista de Jair Bolsonaro.🇧🇷🇧🇷👏🏼👏🏼👏🏼 https://t.co/ntHOPcKKjF",
Francis10085180,"RT @Bruno_SR_84: Olhem isso, tem apenas 4 horas q a entrevista de @jairbolsonaro foi ao ar. (A de @cirogomes foi ontem)
Praticamente a mesm…",
maisumrenan,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Florianópolis - SC
professorigor,"Sobre o processo contra Bolsonaro, deveriamos saber que não importa o que se diz, mas quem diz!… https://t.co/ARuPvPLHna",Juiz de Fora
lucaspqnasci,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…","Brasilândia, São Paulo"
leonardommaciel,@MarceloTas @agencialupa @MarceloTas volta p castelo Ratimbum pq lá tem pelo menos vc conseguia enganar alguém seu… https://t.co/9z92bCP2WP,Niterói; RJ
LFernandes1234,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",
kccIost,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",09.06.2018 ❤
elphabas,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",
RIADLIGGALO17,"RT @JOAQUINTEIXElRA: BOLSONARO,
AO VIVO,
no JORNAL NACIONAL:

- falou que a GLOBO é sustentada pelo Estado
- falou da desigualdade salarial…",BRASIL
Lucaxxhenrique,"RT @RainhaCarminha: Renata Vasconcellos: senhor candidato,o meu salário não diz respeito a ninguém

Pisou na caçamba de lixo #BolsonaroNoJo…","Recife, Brasil"
DannielLLacerda,"RT @milenereis: Bolsonaro quebrou a Rede Globo hoje.
Jornalistas berrando pra ele não falar, não mostrar o kit gay, interrompendo o cara po…",Parnamirim RN 
ionarahasse18,"RT @malxndrz: boa noite com o vídeo mais prazeroso do ano, amém renata vasconsellos #BolsonaroNoJornalNacional #JN https://t.co/Wo7SAgjrUM","Imbuia, Brasil"
AgildoMangabei1,"RT @br_molinasp: RENATA VASCONCELLOS 

23:59
""Um presidente tem que discutir a diferença salarial entre homem e mulher""

00:00
""Meu salário…",
godiswon,"RT @LannesDelRey: O Brasil viu o quanto Bolsonaro é machista ao momento que foi falar que Renata recebia menos q william Bonner.

Simplesme…",   ot5
math_sillva,"RT @malxndrz: boa noite com o vídeo mais prazeroso do ano, amém renata vasconsellos #BolsonaroNoJornalNacional #JN https://t.co/Wo7SAgjrUM","Lagoinha, São Gonçalo"
LuizBandas,"RT @davidsantos0525: Após o Jornal. Você Vota no BOLSONARO?

🔁RT PRA ESPALHAR🔁

#BolsonaroNoJornalNacional",Porto Alegre
marcosldesouza2,"RT @terca_livre: Merval Pereira mordeu a isca... 

DEUS FAMÍLIA BRASIL = palavras que não existem no dicionário dos globais.

Entrevista ag…",
2004julianamel,"RT @gessicafss: Primeiro: Renata Vasconcellos maraviilhosa dona da porra toda. 👏👊 
Segundo: Primeiro. 👏👊 

#RenataVasconcellos 
#BolsonaroN…",Itororó Bahia
itssericam,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Rondonópolis - Mato Grosso
cremederola,"RT @CorrupcaoMemes: Bolsonaro fez mais pela Renata Vasconcellos em 15 minutos do que o feminismo fez em 100 anos 
#BolsonaroNoJornalNaciona…",
teapaqs,NUNCA ACEITARIA RECEBER MENOS QUE UM HOMEM QUE TEM O MESMO CARGO QUE ELA NÉ MEU AMOR,CWB
Alefariascost,"RT @AnaBiapax: #BolsonaroNoJornalNacional 
Geeentee isso é Barra da Tijuca 👇👇 Rio de Janeiro , Bolsonaroooo... é o povo clamando Mitooooooo…",
ddlightwood,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",fan account
HokutoShinken8,@thaisheredia Outra oreia seca que caiu no bait. A bolha jornalística é intransponível; parece uma extensão para as… https://t.co/DpD4qfFfqL,
JotaLuizrn,"RT @canal_direita: ➡️ O livro é para ""educação sexual de crianças"" mas não pode mostrar ao vivo porque ""tem crianças assistindo.""

COERÊNCI…",
kyetzie,"RT @kevelloso: Bolsonaro: a 

Toda a vida existente no planeta:  #BolsonaroNoJornalNacional https://t.co/igQwr31bL2","Rio de Janeiro, Brasil"
ariannylima1_,"RT @isabell14758959: #BolsonaroNoJornalNacional Ele e candidato mesmo , pensei que era so para ter meme https://t.co/9r8yMY8OSz","Vitória, Espírito Santo"
hayllanamartins,"RT @malxndrz: boa noite com o vídeo mais prazeroso do ano, amém renata vasconsellos #BolsonaroNoJornalNacional #JN https://t.co/Wo7SAgjrUM","Bangu, Rio de Janeiro"
mallakias,"RT @Silas_Pereiraa: #BolsonaroNoJornalNacional
Barra da Tijuca após a entrevista de Jair Bolsonaro.🇧🇷🇧🇷👏🏼👏🏼👏🏼 https://t.co/ntHOPcKKjF",
JosCarl34494168,"RT @SaabBrasil: #BolsonaroNoJornalNacional 
Uma pergunta:
Todos sabemos que Renata ganha 5x ou 4x menos que Bonner, 

""Se o salário da Rena…","Estância, Brasil"
dannyseblack,"RT @kimpkat: Resposta sobre segurança pública irretocável. Policial que, no meio da ação, mata o criminoso que porta arma ostensivamente, d…",USA 🇺🇸 🇧🇷
JulianoZen,"RT @crisvillarinho: Os caras no shopping, pararam pra assistir o Bolsonaro. E tem gente que ainda acredita em pesquisa! #BolsonaroNoJornalN…",Minha lista de silenciados ta crescendo... lol
00_amandagarcia,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Terra Média
PAMELLATIELY,"RT @raulnascimentoo: O Jornal Nacional, da Rede Globo, censurou o ""kit gay"" que @jairbolsonaro mostrou ao vivo e pediu respeito aos telespe…",SÃO JOSÉ DO RIO PRETO-SP
eurealeza,"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",
pfasosantos,"RT @Ro_Moller: Depois de ver a entrevista no JN, Globo News e toda repercussão no Twitter... Bolsonaro será ELEITO presidente por nocaute.…",São Paulo
leonardoca98,Vocês acham mais ridículo o posicionamento do bozonaro a respeito da desigualdade de salário entre homem e mulher o… https://t.co/MsPuD3Yvua,"Teresina, Brasil"
JoaquimArruda45,RT @RomuloIMP: O cara ganhou meu voto!!! https://t.co/3iTmdggy1T,Centenário - Tocantins
raphaeu,"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…","Brasília, Brasil"
gledison_araujo,"RT @VRetorno: 23:59 - ""Você deve interferir na diferença salarial entre homens e mulheres na iniciativa privada""

00:00 - ""Mas você e o Bon…","Belém, Pará"
gatadegenerada,"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",saturno
Ale_JU_01,"RT @sirpotenza: Hoje Jair Bolsonaro ganhou mais um eleitor. Obrigado, Bonner e Renata por me ajudarem a escolher. Realmente estava muito pe…",
esgarotobom,"RT @WORD_NEWSS: Noblat não Critica Bolsonaro e família chama ambulância.
#BolsonaroNoJornalNacional https://t.co/OW0J6CXHpA",
