Usuario,Mensagem,Localizacao
MatthewsGabrie7,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN","Compton, CA"
Breno72148322,Nós temos opção e o número dela é 30!!!!!! #OndaLaranja  #JoãoNoJN,
RoseMaria563,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",
peuvila61,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",
BomDiaComPoesia,"RT @tr3v4: Pense #Novo! Vote Novo 30! @partidonovo30 @joaoamoedonovo 🌊🍊
#JoãoNoJN https://t.co/th8Vm8rSOx",
VivianyMalta,"RT @Rinaldo_pedrosa: #JoãoNoJN rápido, mas eficaz. Falou mais em 1 minuto do que os outros em 27.",
Polyana93778712,@joaoamoedonovo É #JoaoNoJn sem acento ou #JoãoNoJN  com acento? Faz diferença na apuração né? Escolham um só 😜,
anagalheigo,"RT @pankecamaceio: Prepara o couro gente.....esquerda, direita, centro vao bater pesado no NOVO depois de hoje...... #JoãoNoJN",Rio de Janeiro
IveSeixas,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN","Resende, Brasil"
hele_nna,RT @f00lishbeggar: Falou muito bem #JoãoNoJN,Rio de Janeiro - Brasil
decokassar2,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",South Park
Andersonrj9,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",
thomas_marchini,"RT @partidonovo30: Logo mais @joaoamoedonovo estará no Jornal Nacional. Será curto, por isso é muito importante que todos estejam ligados p…","Piracicaba, Brasil"
raissa_ariston,"RT @ExmoPresidente: Em 1 minuto ou menos q isso, o #JoãoNoJN falou mais do q os candidatos q tiveram tanto espaço durante a semana",Farhampton
beatrizgrandi_,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",
IsinhaaX,Amoedo falou em 1 min o que os outros 4 candidados não conseguiram falar em quase 30. #JoãoNoJN,"São Carlos, Brasil"
BBBodiei,"RT @VanderleiVca27: #JoãoNoJN
Joao sim eh o Novo, chega da  velha Politica!!
#VemComJoão30 
#VamosRenovarTudo 
#NOVO30 
#JoaoAmoedoNosDebat…","Santa Catarina, Brazil"
1uizfernando,"O #JoãoNoJN em um minuto falou melhor que muitos dos outros candidatos somados. Se ele concretizar essas propostas,… https://t.co/OTUmlObTL8","Ponta Grossa, Brasil"
juliotarrazo,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,"Sao Paulo, Brazil"
josemag,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,"-25.449583,-49.297818"
Andersonrj9,RT @joaoamoedonovo: Começou o @jornalnacional! #JoãoNoJN,
Marcelo_souza93,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",
edu8226,RT @joaoamoedonovo: Começou o @jornalnacional! #JoãoNoJN,
fabiosouzadmu,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN","Curitiba, Brasil"
FelipeLodeiro,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",
guimicheletto,"João Amoêdo... Pouco tempo, mas falou bonito! #JoãonoJN #joaonosdebates","São Paulo, Brasil"
juliotarrazo,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,"Sao Paulo, Brazil"
SanchesCuiaba,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",Cba MT
Antonio_D_Rossi,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn",São Paulo - SP - Brasil
Marcos9596,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN","Araxá, Brasil"
andrebassora,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",Brasil
_geecouto,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN",
fabiosouzadmu,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn","Curitiba, Brasil"
Joaopivato,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn","Juara, Brasil"
emilyamorim__,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN","Praia de Itaparica, Vila Velha"
GabriSegredo,"RT @joaoamoedonovo: ""Por isso a renovação é tão necessária. Por isso criamos o Partido Novo"" #JoãoNoJn","Piracicaba, Brasil"
AndrOtavioAgui1,1 minuto de João Amoêdo na TV vale mais do que 27 minutos de velha política e blá blá blá dos dias anteriores. #JoãoNoJN,
Thiagocartman,#JoãoNoJN Falou em 1 minuto melhor do que todos os candidatos.,
niloolimpio2695,"RT @joaoamoedonovo: ""No fundo o que a gente defende é reduzir o poder dos políticos"" #JoãoNoJN","Recife, Pernambuco"
gabdmaltaa,RT @DanielSpacof: Em um minuto falou mais que os outros em meia hora hahaha #JoãoNoJN https://t.co/TxstSiiuUi,"Goiás, Brasil"
lcnbalieiro,RT @joaoamoedonovo: Logo mais estarei no Jornal Nacional. Será curto por isso é muito importante que todos estejam ligados e compartilhem.…,"Rio de Janeiro, Brasil"
