Usuario,Mensagem,Localizacao
diogojesher,RT @MarinaSilva: Você sabia que o jornal britânico The @guardian colocou Marina Silva entre as 50 pessoas que podem salvar o planeta? Conhe…,"João Pessoa, Brasil"
Marry69s,"RT @alvxaro: a marina é a única que vai ser julgada pela aparência ou vocês acham o bolsonaro, ciro, amoêdo e etc uma coisa linda? https://…",
sunheelala,"RT @inaesandy: Marina Silva é muito educada diferente de outros candidatos aí 
#MarinaNoJornalNacional https://t.co/dx2ZgXGWQd",Brasil
redfox_girl,"RT @BetoSilvaBR: Não vi a entrevista da 
#MarinaNoJornalNacional . Alguém sabe se ela saiu dançando tipo o Bolsonaro? https://t.co/O13QDtJl…",
VictorRomberg,"RT @dany_oliveiravc: Estava assistindo a entrevista com a Marina, e na minha opinião ela foi a que se saiu melhor entre os já entrevistados…",
ivanjr_miguel,RT @BlogDoPim: #MarinaNoJornalNacional continuou em cima do muro. Assista ao meu comentário para a Jovem Pan. https://t.co/4ELjTS2Xp3,São Jose dos Campos
_eupatrick,"RT @_wesleyalvs: #MarinaNoJornalNacional

foi ai que eu
     me apaixonei 

           aquele sorriso 

                       aquela droga…","Duque de Caxias, Brasil"
sunheelala,"RT @MeloFelip: Como alguém deixa de votar em Marina ou Ciro pra votar no embuste do BOLSONARO? 

#MarinaNoJornalNacional https://t.co/XXQHp…",Brasil
sunheelala,"RT @celsodossi: Marina e Ciro super articulados.

(Chuchu eu não vi).

Bozo mostrou livro falso, fugiu de todas as perguntas, tentou constr…",Brasil
rodamartins,"RT @franciscomacsoa: O único candidato que defende polícia e exercito! Que quer ordem e progresso pro país. 

O único que NÃO é esquerdista…",brasil/rio de janeiro
passaroAzul46,"RT @calango77: Não conheço um ser vivo que declara voto em  Marina Silva , não vejo um adesivo da candidata numa janela ou veículo, aonde e…",
sunheelala,"RT @bchartsnet: - Você já explicou
- Eu expliquei, mas parece que você continua com dúvidas #MarinaNoJornalNacional https://t.co/bR15hDJFJr",Brasil
forcolen,"RT @JoelAlexandreM: O que faz alguém votar na Marina ? Não tem opinião para nada, quer dialogar e fazer plebiscito para tudo, não tem lider…","Brasil, Novo Hamburgo RS"
Petrofab80,"RT @BlogDoPim: #MarinaNoJornalNacional: ""Eu sou mulher, sou negra, fui seringueira."" E diz que há muita gente que acha que, em razão dessa…","Petrolina, Brasil"
larysmorissette,RT @MarinaSilva: Você sabia que o jornal britânico The @guardian colocou Marina Silva entre as 50 pessoas que podem salvar o planeta? Conhe…,"SP, Brasil"
Joaopaulo72,RT @BetoSilvaBR: #MarinaNoJornalNacional com licença; fui informado que mulheres não apoiam Bolsonaro. Essa informação procede? 🤔 https://t…,Santos/SP
RadomHistory,RT @CorrupcaoMemes: Que horas que acaba essa propaganda doTopTherm omega 3 pra Marina entrar? #MarinaNoJornalNacional,
Luicifer_,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…",São Luis - MA
CeliaPfau,"RT @gideaopinheiro: Marina o que vc acha do aborto? 
- Tem de debater
E sobre a segurança?
- Tem de debater
E as drogas?
- Tem de debater?…","Blumenau, Brasil"
magnamoreira_,"RT @WORD_NEWSS: Marina não sabe se foi golpe ou impeachment, mas vai convocar um plebiscito para decidir.
#MarinaNoJornalNacional https://t…",Picos Piauí Brasil 
edusoarees,Assisti à entrevista da Marina Silva no Jornal Nacional ontem. E realmente ela faz jus ao apelido “Blablarina”... f… https://t.co/lbUn80C9kc,Belém / Macapá - Brasil
bxngbxtch,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…",september 26th
gabeemelo_,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…",Aracaju (SE)
RobertoPegoraro,"RT @pauloap: QUER SABER QUEM É MARINA SILVA? ESSA AQUI:

#MarinaNoJornalNacional https://t.co/b4he2iRpxn",São Paulo
marcelo74024156,"RT @franciscomacsoa: O único candidato que defende polícia e exercito! Que quer ordem e progresso pro país. 

O único que NÃO é esquerdista…","São Carlos, Brasil"
marcofernando_,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…","Vila Velha, Brasil"
serpensssortia,"RT @mathsoliv: Esse tweet representa o que acontece quando uma mulher entra na política, não importa o debate político o que importa é o ca…",Idris
ABDOFARRET,RT @BlogDoPim: #MarinaNoJornalNacional continuou em cima do muro. Assista ao meu comentário para a Jovem Pan. https://t.co/4ELjTS2Xp3,"Natal, Rio Grande do Norte"
romario_neves,"RT @Ro_Moller: Eu não conheço ninguém que vote na Marina Silva...

E para aqueles que votam, espero continuar não conhecendo...

Não consig…","Rio de Janeiro, Brasil"
RadomHistory,RT @CorrupcaoMemes: Se a Marina indicar ministro igual indica cabeleireiro tamo tudo fudido #MarinaNoJornalNacional https://t.co/Anfs79VhIA,
